date,price
31/12/2020,80.62
30/12/2020,80.42
29/12/2020,80.86
24/12/2020,80.11
23/12/2020,80.40
22/12/2020,81.39
21/12/2020,81.39
18/12/2020,80.67
17/12/2020,80.11
16/12/2020,80.51
15/12/2020,80.76
14/12/2020,81.31
11/12/2020,82.08
10/12/2020,81.51
09/12/2020,80.83
08/12/2020,81.13
07/12/2020,81.14
04/12/2020,80.29
03/12/2020,80.44
02/12/2020,80.94
01/12/2020,80.58
30/11/2020,80.97
27/11/2020,80.93
26/11/2020,80.77
25/11/2020,80.39
24/11/2020,80.53
23/11/2020,80.72
20/11/2020,80.75
19/11/2020,80.97
18/11/2020,80.54
17/11/2020,80.60
16/11/2020,80.78
13/11/2020,80.76
12/11/2020,80.74
11/11/2020,80.10
10/11/2020,80.19
09/11/2020,80.68
06/11/2020,81.04
05/11/2020,81.39
04/11/2020,81.58
03/11/2020,80.44
02/11/2020,81.32
30/10/2020,80.85
29/10/2020,81.33
28/10/2020,81.23
27/10/2020,80.97
26/10/2020,81.05
23/10/2020,80.86
22/10/2020,80.50
21/10/2020,80.50
20/10/2020,81.50
19/10/2020,81.39
16/10/2020,81.72
15/10/2020,81.69
14/10/2020,81.19
13/10/2020,81.39
12/10/2020,80.82
09/10/2020,81.07
08/10/2020,81.39
07/10/2020,81.32
06/10/2020,81.11
05/10/2020,81.03
02/10/2020,81.14
01/10/2020,81.42
30/09/2020,81.26
29/09/2020,81.72
28/09/2020,81.49
25/09/2020,82.18
24/09/2020,82.25
23/09/2020,82.39
22/09/2020,82.58
21/09/2020,82.38
18/09/2020,81.74
17/09/2020,81.75
16/09/2020,82.35
15/09/2020,83.10
14/09/2020,83.00
11/09/2020,83.43
10/09/2020,82.74
09/09/2020,81.91
08/09/2020,81.86
07/09/2020,81.02
04/09/2020,80.88
03/09/2020,80.86
02/09/2020,80.68
01/09/2020,79.69
28/08/2020,79.89
27/08/2020,80.44
26/08/2020,80.68
25/08/2020,81.13
24/08/2020,81.81
21/08/2020,81.62
20/08/2020,81.24
19/08/2020,81.22
18/08/2020,80.93
17/08/2020,81.54
14/08/2020,81.36
13/08/2020,81.82
12/08/2020,82.11
11/08/2020,81.95
10/08/2020,82.33
07/08/2020,82.57
06/08/2020,82.34
05/08/2020,81.94
04/08/2020,82.31
03/08/2020,82.10
31/07/2020,81.66
30/07/2020,82.28
29/07/2020,82.50
28/07/2020,82.63
27/07/2020,83.07
24/07/2020,83.37
23/07/2020,83.60
22/07/2020,83.64
21/07/2020,83.46
20/07/2020,83.58
17/07/2020,84.17
16/07/2020,83.61
15/07/2020,83.37
14/07/2020,83.58
13/07/2020,83.01
10/07/2020,82.81
09/07/2020,82.88
08/07/2020,83.04
07/07/2020,82.75
06/07/2020,83.39
03/07/2020,83.37
02/07/2020,83.38
01/07/2020,83.04
30/06/2020,83.68
29/06/2020,84.08
26/06/2020,83.49
25/06/2020,82.92
24/06/2020,82.64
23/06/2020,82.53
22/06/2020,82.95
19/06/2020,83.34
18/06/2020,82.71
17/06/2020,82.07
16/06/2020,82.15
15/06/2020,81.71
12/06/2020,81.76
11/06/2020,81.25
10/06/2020,80.76
09/06/2020,80.61
08/06/2020,81.07
05/06/2020,80.74
04/06/2020,81.25
03/06/2020,81.04
02/06/2020,81.19
01/06/2020,81.22
29/05/2020,81.83
28/05/2020,81.88
27/05/2020,82.17
26/05/2020,81.29
22/05/2020,81.87
21/05/2020,81.78
20/05/2020,81.11
19/05/2020,81.06
18/05/2020,81.01
15/05/2020,81.22
14/05/2020,80.36
13/05/2020,80.35
12/05/2020,79.83
11/05/2020,79.27
07/05/2020,79.70
06/05/2020,79.56
05/05/2020,79.63
04/05/2020,79.93
01/05/2020,79.38
30/04/2020,79.31
29/04/2020,79.94
28/04/2020,79.57
27/04/2020,79.92
24/04/2020,80.25
23/04/2020,80.18
22/04/2020,80.07
21/04/2020,80.25
20/04/2020,79.64
17/04/2020,79.82
16/04/2020,79.99
15/04/2020,79.25
14/04/2020,79.29
09/04/2020,79.95
08/04/2020,77.67
07/04/2020,77.71
06/04/2020,77.46
03/04/2020,77.07
02/04/2020,76.69
01/04/2020,76.82
31/03/2020,77.29
30/03/2020,77.13
27/03/2020,75.91
26/03/2020,78.04
25/03/2020,79.24
24/03/2020,78.39
23/03/2020,78.75
20/03/2020,75.05
19/03/2020,75.17
18/03/2020,75.01
17/03/2020,76.48
16/03/2020,76.17
13/03/2020,77.45
12/03/2020,76.19
11/03/2020,78.87
10/03/2020,79.80
09/03/2020,79.22
06/03/2020,80.75
05/03/2020,81.17
04/03/2020,81.82
03/03/2020,81.80
02/03/2020,81.36
28/02/2020,80.67
27/02/2020,80.11
26/02/2020,79.88
25/02/2020,79.55
24/02/2020,80.01
21/02/2020,79.73
20/02/2020,79.94
19/02/2020,79.42
18/02/2020,79.06
17/02/2020,79.09
14/02/2020,78.98
13/02/2020,78.64
12/02/2020,79.16
11/02/2020,79.54
10/02/2020,79.73
07/02/2020,79.76
06/02/2020,79.44
05/02/2020,79.17
04/02/2020,79.08
03/02/2020,79.43
31/01/2020,78.44
30/01/2020,78.61
29/01/2020,79.12
28/01/2020,79.06
27/01/2020,78.77
24/01/2020,78.60
23/01/2020,78.28
22/01/2020,78.11
21/01/2020,78.56
20/01/2020,78.57
17/01/2020,78.44
16/01/2020,78.21
15/01/2020,78.49
14/01/2020,78.42
13/01/2020,78.48
10/01/2020,78.19
09/01/2020,77.77
08/01/2020,77.73
07/01/2020,77.73
06/01/2020,77.50
03/01/2020,78.03
02/01/2020,77.58
